provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_produksi,satuan
JAWA BARAT,3201,KABUPATEN BOGOR,1581.8,TON
JAWA BARAT,3202,KABUPATEN SUKABUMI,2393.4,TON
JAWA BARAT,3203,KABUPATEN CIANJUR,48679.1,TON
JAWA BARAT,3204,KABUPATEN BANDUNG,65666.4,TON
JAWA BARAT,3205,KABUPATEN GARUT,42953.5,TON
JAWA BARAT,3206,KABUPATEN TASIKMALAYA,6.5,TON
JAWA BARAT,3207,KABUPATEN CIAMIS,0,TON
JAWA BARAT,3208,KABUPATEN KUNINGAN,544.8,TON
JAWA BARAT,3209,KABUPATEN CIREBON,0,TON
JAWA BARAT,3210,KABUPATEN MAJALENGKA,845.6,TON
JAWA BARAT,3211,KABUPATEN SUMEDANG,9.5,TON
JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,TON
JAWA BARAT,3213,KABUPATEN SUBANG,0,TON
JAWA BARAT,3214,KABUPATEN PURWAKARTA,26.5,TON
JAWA BARAT,3215,KABUPATEN KARAWANG,0,TON
JAWA BARAT,3216,KABUPATEN BEKASI,0,TON
JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,516.6,TON
JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,TON
JAWA BARAT,3271,KOTA BOGOR,0,TON
JAWA BARAT,3272,KOTA SUKABUMI,0,TON
JAWA BARAT,3273,KOTA BANDUNG,0,TON
JAWA BARAT,3274,KOTA CIREBON,0,TON
JAWA BARAT,3275,KOTA BEKASI,0,TON
JAWA BARAT,3276,KOTA DEPOK,0,TON
JAWA BARAT,3277,KOTA CIMAHI,0,TON
JAWA BARAT,3278,KOTA TASIKMALAYA,0,TON
JAWA BARAT,3279,KOTA BANJAR,0,TON